YearWeekISO,ReportingCountry,TargetGroup,TotalDosesSum
2020-52,CZ,15-24yr,2546
2020-52,EE,15-24yr,3
2020-52,EL,15-24yr,481
2020-52,FI,15-24yr,24
2020-52,FR,15-24yr,0
2020-52,HR,15-24yr,0
2020-52,HU,15-24yr,1115
2020-52,IT,15-24yr,7231
2020-52,LT,15-24yr,2502
2020-52,LU,15-24yr,0
2020-52,MT,15-24yr,61
2020-52,PL,15-24yr,2257
2020-52,PT,15-24yr,5143
2020-52,SE,15-24yr,1979
2020-52,SI,15-24yr,6050
2020-53,AT,15-24yr,10128
2020-53,BE,15-24yr,1603
2020-53,BG,15-24yr,4781
2020-53,CZ,15-24yr,31108
2020-53,DK,15-24yr,47751
2020-53,EE,15-24yr,23
2020-53,EL,15-24yr,8224
2020-53,FI,15-24yr,5735
2020-53,FR,15-24yr,588
2020-53,HR,15-24yr,12426
2020-53,HU,15-24yr,14308
2020-53,IE,15-24yr,2163
2020-53,IS,15-24yr,5062
2020-53,IT,15-24yr,132867
2020-53,LT,15-24yr,12405
2020-53,LU,15-24yr,1269
2020-53,LV,15-24yr,2367
2020-53,MT,15-24yr,1871
2020-53,PL,15-24yr,57373
2020-53,PT,15-24yr,39630
2020-53,SE,15-24yr,18060
2020-53,SI,15-24yr,18870
2021-01,AT,15-24yr,66899
2021-01,BE,15-24yr,56608
2021-01,BG,15-24yr,22914
2021-01,CZ,15-24yr,127460
2021-01,DK,15-24yr,160608
2021-01,EE,15-24yr,295
2021-01,EL,15-24yr,97236
2021-01,FI,15-24yr,26845
2021-01,FR,15-24yr,100837
2021-01,HR,15-24yr,46852
2021-01,HU,15-24yr,97814
2021-01,IE,15-24yr,57579
2021-01,IT,15-24yr,904927
2021-01,LT,15-24yr,33604
2021-01,LU,15-24yr,3457
2021-01,LV,15-24yr,9404
2021-01,MT,15-24yr,8061
2021-01,PL,15-24yr,308279
2021-01,PT,15-24yr,112531
2021-01,SE,15-24yr,73679
2021-01,SI,15-24yr,45571
2021-02,AT,15-24yr,258281
2021-02,BE,15-24yr,305924
2021-02,BG,15-24yr,44524
2021-02,CZ,15-24yr,340232
2021-02,DK,15-24yr,280756
2021-02,EE,15-24yr,2410
2021-02,EL,15-24yr,250107
2021-02,FI,15-24yr,82676
2021-02,FR,15-24yr,619302
2021-02,HR,15-24yr,92231
2021-02,HU,15-24yr,267795
2021-02,IE,15-24yr,202379
2021-02,IS,15-24yr,16219
2021-02,IT,15-24yr,2000726
2021-02,LT,15-24yr,75523
2021-02,LU,15-24yr,6435
2021-02,LV,15-24yr,23271
2021-02,MT,15-24yr,20511
2021-02,PL,15-24yr,847564
2021-02,PT,15-24yr,206933
2021-02,SE,15-24yr,204029
2021-02,SI,15-24yr,92960
2021-03,AT,15-24yr,533655
2021-03,BE,15-24yr,747660
2021-03,BG,15-24yr,62015
2021-03,CZ,15-24yr,638236
2021-03,DK,15-24yr,375144
2021-03,EE,15-24yr,12534
2021-03,EL,15-24yr,474324
2021-03,FI,15-24yr,179405
2021-03,FR,15-24yr,1897436
2021-03,HR,15-24yr,141203
2021-03,HU,15-24yr,401870
2021-03,IE,15-24yr,347226
2021-03,IS,15-24yr,27552
2021-03,IT,15-24yr,3221549
2021-03,LT,15-24yr,118808
2021-03,LU,15-24yr,13694
2021-03,LV,15-24yr,35159
2021-03,MT,15-24yr,39177
2021-03,NO,15-24yr,80022
2021-03,PL,15-24yr,1467491
2021-03,PT,15-24yr,413059
2021-03,SE,15-24yr,416032
2021-03,SI,15-24yr,130119
2021-04,AT,15-24yr,723394
2021-04,BE,15-24yr,1166308
2021-04,BG,15-24yr,92077
2021-04,CZ,15-24yr,916025
2021-04,DK,15-24yr,526647
2021-04,EE,15-24yr,37845
2021-04,EL,15-24yr,790149
2021-04,FI,15-24yr,289195
2021-04,FR,15-24yr,3446954
2021-04,HR,15-24yr,188051
2021-04,HU,15-24yr,616603
2021-04,IE,15-24yr,495893
2021-04,IS,15-24yr,43434
2021-04,IT,15-24yr,4235264
2021-04,LT,15-24yr,160446
2021-04,LU,15-24yr,23531
2021-04,LV,15-24yr,43014
2021-04,MT,15-24yr,59713
2021-04,NO,15-24yr,153691
2021-04,PL,15-24yr,2256487
2021-04,PT,15-24yr,646030
2021-04,SE,15-24yr,632071
2021-04,SI,15-24yr,167087
2021-05,AT,15-24yr,960785
2021-05,BE,15-24yr,1615891
2021-05,BG,15-24yr,136176
2021-05,CZ,15-24yr,1194539
2021-05,DK,15-24yr,671023
2021-05,EE,15-24yr,75342
2021-05,EL,15-24yr,1197115
2021-05,FI,15-24yr,398007
2021-05,FR,15-24yr,4849956
2021-05,HR,15-24yr,228206
2021-05,HU,15-24yr,980142
2021-05,IE,15-24yr,650419
2021-05,IS,15-24yr,45887
2021-05,IT,15-24yr,5913986
2021-05,LT,15-24yr,216113
2021-05,LU,15-24yr,35040
2021-05,LV,15-24yr,56343
2021-05,MT,15-24yr,85859
2021-05,NO,15-24yr,291277
2021-05,PL,15-24yr,3351618
2021-05,PT,15-24yr,786949
2021-05,SE,15-24yr,838491
2021-05,SI,15-24yr,215533
2021-06,AT,15-24yr,1283552
2021-06,BE,15-24yr,2177893
2021-06,BG,15-24yr,179820
2021-06,CZ,15-24yr,1530950
2021-06,DK,15-24yr,972145
2021-06,EE,15-24yr,110705
2021-06,EL,15-24yr,1619006
2021-06,FI,15-24yr,507686
2021-06,FR,15-24yr,6543344
2021-06,HR,15-24yr,279263
2021-06,HU,15-24yr,1212750
2021-06,IE,15-24yr,782308
2021-06,IS,15-24yr,50838
2021-06,IT,15-24yr,7460442
2021-06,LT,15-24yr,274599
2021-06,LU,15-24yr,47886
2021-06,LV,15-24yr,69944
2021-06,MT,15-24yr,111888
2021-06,NO,15-24yr,462665
2021-06,PL,15-24yr,4426755
2021-06,PT,15-24yr,986133
2021-06,SE,15-24yr,1074687
2021-06,SI,15-24yr,261792
2021-07,AT,15-24yr,1596343
2021-07,BE,15-24yr,2692047
2021-07,BG,15-24yr,247536
2021-07,CZ,15-24yr,1875208
2021-07,DK,15-24yr,1174313
2021-07,EE,15-24yr,145661
2021-07,EL,15-24yr,2108930
2021-07,FI,15-24yr,645783
2021-07,FR,15-24yr,8581420
2021-07,HR,15-24yr,353575
2021-07,HU,15-24yr,1506629
2021-07,IE,15-24yr,928106
2021-07,IS,15-24yr,62958
2021-07,IT,15-24yr,8709403
2021-07,LT,15-24yr,338003
2021-07,LU,15-24yr,62999
2021-07,LV,15-24yr,83697
2021-07,MT,15-24yr,137097
2021-07,NO,15-24yr,628591
2021-07,PL,15-24yr,5537815
2021-07,PT,15-24yr,1273435
2021-07,SE,15-24yr,1357830
2021-07,SI,15-24yr,311607
2021-08,AT,15-24yr,1946959
2021-08,BE,15-24yr,3165566
2021-08,BG,15-24yr,392505
2021-08,CZ,15-24yr,2223299
2021-08,DK,15-24yr,1420843
2021-08,EE,15-24yr,196057
2021-08,EL,15-24yr,2673242
2021-08,FI,15-24yr,830529
2021-08,FR,15-24yr,10537084
2021-08,HR,15-24yr,458750
2021-08,HU,15-24yr,2055315
2021-08,IE,15-24yr,1190872
2021-08,IS,15-24yr,78437
2021-08,IT,15-24yr,10208970
2021-08,LT,15-24yr,421111
2021-08,LU,15-24yr,79628
2021-08,LV,15-24yr,109077
2021-08,MT,15-24yr,169721
2021-08,NO,15-24yr,812322
2021-08,PL,15-24yr,6770743
2021-08,PT,15-24yr,1614490
2021-08,SE,15-24yr,1666100
2021-08,SI,15-24yr,367253
2021-09,AT,15-24yr,2395489
2021-09,BE,15-24yr,3751376
2021-09,BG,15-24yr,568762
2021-09,CZ,15-24yr,2734824
2021-09,DK,15-24yr,1722500
2021-09,EE,15-24yr,266698
2021-09,EL,15-24yr,3281945
2021-09,FI,15-24yr,1044705
2021-09,FR,15-24yr,12849115
2021-09,HR,15-24yr,577388
2021-09,HU,15-24yr,2728179
2021-09,IE,15-24yr,1434628
2021-09,IS,15-24yr,92601
2021-09,IT,15-24yr,12338748
2021-09,LT,15-24yr,527292
2021-09,LU,15-24yr,96472
2021-09,LV,15-24yr,144903
2021-09,MT,15-24yr,201458
2021-09,NO,15-24yr,1017384
2021-09,PL,15-24yr,8025239
2021-09,PT,15-24yr,1975924
2021-09,SE,15-24yr,2001351
2021-09,SI,15-24yr,430991
2021-10,AT,15-24yr,3062933
2021-10,BE,15-24yr,4460055
2021-10,BG,15-24yr,699909
2021-10,CZ,15-24yr,3462442
2021-10,DK,15-24yr,2008203
2021-10,EE,15-24yr,353455
2021-10,EL,15-24yr,3882667
2021-10,FI,15-24yr,1279576
2021-10,FR,15-24yr,15855543
2021-10,HR,15-24yr,695788
2021-10,HU,15-24yr,3532389
2021-10,IE,15-24yr,1642539
2021-10,IS,15-24yr,105523
2021-10,IT,15-24yr,15020658
2021-10,LT,15-24yr,641188
2021-10,LU,15-24yr,118925
2021-10,LV,15-24yr,179310
2021-10,MT,15-24yr,229739
2021-10,NO,15-24yr,1218038
2021-10,PL,15-24yr,9207511
2021-10,PT,15-24yr,2284657
2021-10,SE,15-24yr,2402478
2021-10,SI,15-24yr,517542
2021-11,AT,15-24yr,3766504
2021-11,BE,15-24yr,5253533
2021-11,BG,15-24yr,783203
2021-11,CZ,15-24yr,4263363
2021-11,DK,15-24yr,2243707
2021-11,EE,15-24yr,438545
2021-11,EL,15-24yr,4385990
2021-11,FI,15-24yr,1527879
2021-11,FR,15-24yr,18795390
2021-11,HR,15-24yr,824459
2021-11,HU,15-24yr,4301776
2021-11,IE,15-24yr,1831240
2021-11,IS,15-24yr,116378
2021-11,IT,15-24yr,17628982
2021-11,LT,15-24yr,724269
2021-11,LU,15-24yr,146830
2021-11,LV,15-24yr,199648
2021-11,MT,15-24yr,264904
2021-11,NO,15-24yr,1373771
2021-11,PL,15-24yr,10243581
2021-11,PT,15-24yr,2609236
2021-11,SE,15-24yr,2789267
2021-11,SI,15-24yr,599782
2021-12,AT,15-24yr,4467894
2021-12,BE,15-24yr,6191358
2021-12,BG,15-24yr,885956
2021-12,CZ,15-24yr,5005837
2021-12,DK,15-24yr,2468867
2021-12,EE,15-24yr,511372
2021-12,EL,15-24yr,4879608
2021-12,FI,15-24yr,1761699
2021-12,FR,15-24yr,21924727
2021-12,HR,15-24yr,951000
2021-12,HU,15-24yr,5175421
2021-12,IE,15-24yr,2031060
2021-12,IS,15-24yr,135557
2021-12,IT,15-24yr,20427524
2021-12,LT,15-24yr,826776
2021-12,LU,15-24yr,176139
2021-12,LV,15-24yr,229108
2021-12,MT,15-24yr,307701
2021-12,NO,15-24yr,1552692
2021-12,PL,15-24yr,11583898
2021-12,PT,15-24yr,3096065
2021-12,SE,15-24yr,3154444
2021-12,SI,15-24yr,684554
2021-13,AT,15-24yr,5129325
2021-13,BE,15-24yr,7208129
2021-13,BG,15-24yr,1024079
2021-13,CZ,15-24yr,5733649
2021-13,DK,15-24yr,2708126
2021-13,EE,15-24yr,594630
2021-13,EL,15-24yr,5505692
2021-13,FI,15-24yr,2000941
2021-13,FR,15-24yr,25786893
2021-13,HR,15-24yr,1073797
2021-13,HU,15-24yr,6389727
2021-13,IE,15-24yr,2310370
2021-13,IS,15-24yr,157099
2021-13,IT,15-24yr,23705111
2021-13,LT,15-24yr,993809
2021-13,LU,15-24yr,208011
2021-13,LV,15-24yr,272944
2021-13,MT,15-24yr,360760
2021-13,NO,15-24yr,1768047
2021-13,PL,15-24yr,13191482
2021-13,PT,15-24yr,3610188
2021-13,SE,15-24yr,3575604
2021-13,SI,15-24yr,796668
2021-14,AT,15-24yr,5674216
2021-14,BE,15-24yr,7690129
2021-14,CZ,15-24yr,6311110
2021-14,DK,15-24yr,2921366
2021-14,EE,15-24yr,659750
2021-14,EL,15-24yr,6083543
2021-14,FI,15-24yr,2185833
2021-14,HR,15-24yr,1169109
2021-14,HU,15-24yr,7462939
2021-14,IE,15-24yr,2483985
2021-14,IT,15-24yr,26133530
2021-14,LT,15-24yr,1143023
2021-14,LU,15-24yr,238616
2021-14,MT,15-24yr,405044
2021-14,PL,15-24yr,14275760
2021-14,PT,15-24yr,4032640
2021-14,SE,15-24yr,3893290
2020-52,CZ,25-49yr,3229
2020-52,EE,25-49yr,3
2020-52,EL,25-49yr,551
2020-52,FI,25-49yr,40
2020-52,FR,25-49yr,0
2020-52,HR,25-49yr,0
2020-52,HU,25-49yr,1764
2020-52,IT,25-49yr,10362
2020-52,LT,25-49yr,3754
2020-52,LU,25-49yr,0
2020-52,MT,25-49yr,94
2020-52,PL,25-49yr,3374
2020-52,PT,25-49yr,8294
2020-52,SE,25-49yr,2088
2020-52,SI,25-49yr,6543
2020-53,AT,25-49yr,11401
2020-53,BE,25-49yr,1703
2020-53,BG,25-49yr,6290
2020-53,CZ,25-49yr,38040
2020-53,DK,25-49yr,62472
2020-53,EE,25-49yr,32
2020-53,EL,25-49yr,10263
2020-53,FI,25-49yr,9298
2020-53,FR,25-49yr,627
2020-53,HR,25-49yr,15379
2020-53,HU,25-49yr,20073
2020-53,IE,25-49yr,3617
2020-53,IS,25-49yr,6172
2020-53,IT,25-49yr,188949
2020-53,LT,25-49yr,15654
2020-53,LU,25-49yr,1753
2020-53,LV,25-49yr,2559
2020-53,MT,25-49yr,2793
2020-53,PL,25-49yr,80447
2020-53,PT,25-49yr,59142
2020-53,SE,25-49yr,19143
2020-53,SI,25-49yr,21319
2021-01,AT,25-49yr,77371
2021-01,BE,25-49yr,60514
2021-01,BG,25-49yr,25724
2021-01,CZ,25-49yr,145891
2021-01,DK,25-49yr,178794
2021-01,EE,25-49yr,326
2021-01,EL,25-49yr,117547
2021-01,FI,25-49yr,35354
2021-01,FR,25-49yr,114500
2021-01,HR,25-49yr,53098
2021-01,HU,25-49yr,123726
2021-01,IE,25-49yr,87218
2021-01,IT,25-49yr,918909
2021-01,LT,25-49yr,38795
2021-01,LU,25-49yr,3459
2021-01,LV,25-49yr,9824
2021-01,MT,25-49yr,9562
2021-01,PL,25-49yr,382194
2021-01,PT,25-49yr,137928
2021-01,SE,25-49yr,77141
2021-01,SI,25-49yr,54284
2021-02,AT,25-49yr,282373
2021-02,BE,25-49yr,320844
2021-02,BG,25-49yr,46057
2021-02,CZ,25-49yr,369688
2021-02,DK,25-49yr,294923
2021-02,EE,25-49yr,2519
2021-02,EL,25-49yr,266003
2021-02,FI,25-49yr,98988
2021-02,FR,25-49yr,678450
2021-02,HR,25-49yr,98078
2021-02,HU,25-49yr,290088
2021-02,IE,25-49yr,224903
2021-02,IS,25-49yr,17000
2021-02,IT,25-49yr,2213934
2021-02,LT,25-49yr,85036
2021-02,LU,25-49yr,6977
2021-02,LV,25-49yr,24366
2021-02,MT,25-49yr,22487
2021-02,PL,25-49yr,975069
2021-02,PT,25-49yr,224049
2021-02,SE,25-49yr,220358
2021-02,SI,25-49yr,96057
2021-03,AT,25-49yr,564735
2021-03,BE,25-49yr,788376
2021-03,BG,25-49yr,64524
2021-03,CZ,25-49yr,659681
2021-03,DK,25-49yr,384816
2021-03,EE,25-49yr,14819
2021-03,EL,25-49yr,486617
2021-03,FI,25-49yr,196846
2021-03,FR,25-49yr,1958221
2021-03,HR,25-49yr,147509
2021-03,HU,25-49yr,417870
2021-03,IE,25-49yr,365475
2021-03,IS,25-49yr,29365
2021-03,IT,25-49yr,3317977
2021-03,LT,25-49yr,124689
2021-03,LU,25-49yr,15206
2021-03,LV,25-49yr,35520
2021-03,MT,25-49yr,42204
2021-03,NO,25-49yr,88107
2021-03,PL,25-49yr,1554901
2021-03,PT,25-49yr,471004
2021-03,SE,25-49yr,445824
2021-03,SI,25-49yr,133713
2021-04,AT,25-49yr,738583
2021-04,BE,25-49yr,1197172
2021-04,BG,25-49yr,96731
2021-04,CZ,25-49yr,937601
2021-04,DK,25-49yr,545583
2021-04,EE,25-49yr,45017
2021-04,EL,25-49yr,818626
2021-04,FI,25-49yr,305214
2021-04,FR,25-49yr,3490708
2021-04,HR,25-49yr,193306
2021-04,HU,25-49yr,668203
2021-04,IE,25-49yr,526108
2021-04,IS,25-49yr,43497
2021-04,IT,25-49yr,4480925
2021-04,LT,25-49yr,171149
2021-04,LU,25-49yr,24772
2021-04,LV,25-49yr,43458
2021-04,MT,25-49yr,62987
2021-04,NO,25-49yr,158544
2021-04,PL,25-49yr,2379269
2021-04,PT,25-49yr,685857
2021-04,SE,25-49yr,651672
2021-04,SI,25-49yr,175735
2021-05,AT,25-49yr,991821
2021-05,BE,25-49yr,1649653
2021-05,BG,25-49yr,140940
2021-05,CZ,25-49yr,1223014
2021-05,DK,25-49yr,686796
2021-05,EE,25-49yr,80031
2021-05,EL,25-49yr,1224879
2021-05,FI,25-49yr,416287
2021-05,FR,25-49yr,4909754
2021-05,HR,25-49yr,233441
2021-05,HU,25-49yr,1006794
2021-05,IE,25-49yr,675089
2021-05,IS,25-49yr,46370
2021-05,IT,25-49yr,6155814
2021-05,LT,25-49yr,226552
2021-05,LU,25-49yr,36403
2021-05,LV,25-49yr,57336
2021-05,MT,25-49yr,89423
2021-05,NO,25-49yr,305587
2021-05,PL,25-49yr,3485341
2021-05,PT,25-49yr,808292
2021-05,SE,25-49yr,859918
2021-05,SI,25-49yr,218950
2021-06,AT,25-49yr,1322463
2021-06,BE,25-49yr,2228652
2021-06,BG,25-49yr,186573
2021-06,CZ,25-49yr,1553346
2021-06,DK,25-49yr,991538
2021-06,EE,25-49yr,112968
2021-06,EL,25-49yr,1636799
2021-06,FI,25-49yr,516987
2021-06,FR,25-49yr,6663021
2021-06,HR,25-49yr,286211
2021-06,HU,25-49yr,1229374
2021-06,IE,25-49yr,796900
2021-06,IS,25-49yr,51930
2021-06,IT,25-49yr,7619609
2021-06,LT,25-49yr,284565
2021-06,LU,25-49yr,49752
2021-06,LV,25-49yr,70962
2021-06,MT,25-49yr,115554
2021-06,NO,25-49yr,475548
2021-06,PL,25-49yr,4524390
2021-06,PT,25-49yr,1029784
2021-06,SE,25-49yr,1099612
2021-06,SI,25-49yr,265025
2021-07,AT,25-49yr,1626672
2021-07,BE,25-49yr,2745787
2021-07,BG,25-49yr,264290
2021-07,CZ,25-49yr,1891272
2021-07,DK,25-49yr,1191190
2021-07,EE,25-49yr,151401
2021-07,EL,25-49yr,2128234
2021-07,FI,25-49yr,653004
2021-07,FR,25-49yr,8691797
2021-07,HR,25-49yr,359463
2021-07,HU,25-49yr,1544966
2021-07,IE,25-49yr,956045
2021-07,IS,25-49yr,65210
2021-07,IT,25-49yr,8871448
2021-07,LT,25-49yr,347810
2021-07,LU,25-49yr,65501
2021-07,LV,25-49yr,85405
2021-07,MT,25-49yr,141183
2021-07,NO,25-49yr,632027
2021-07,PL,25-49yr,5658445
2021-07,PT,25-49yr,1313313
2021-07,SE,25-49yr,1401489
2021-07,SI,25-49yr,313803
2021-08,AT,25-49yr,1986700
2021-08,BE,25-49yr,3231583
2021-08,BG,25-49yr,417517
2021-08,CZ,25-49yr,2241934
2021-08,DK,25-49yr,1453386
2021-08,EE,25-49yr,205536
2021-08,EL,25-49yr,2689452
2021-08,FI,25-49yr,836815
2021-08,FR,25-49yr,10629417
2021-08,HR,25-49yr,463145
2021-08,HU,25-49yr,2080149
2021-08,IE,25-49yr,1214195
2021-08,IS,25-49yr,80105
2021-08,IT,25-49yr,10399166
2021-08,LT,25-49yr,424927
2021-08,LU,25-49yr,81203
2021-08,LV,25-49yr,110435
2021-08,MT,25-49yr,177442
2021-08,NO,25-49yr,835880
2021-08,PL,25-49yr,6891061
2021-08,PT,25-49yr,1631875
2021-08,SE,25-49yr,1703441
2021-08,SI,25-49yr,369195
2021-09,AT,25-49yr,2431146
2021-09,BE,25-49yr,3835837
2021-09,BG,25-49yr,587020
2021-09,CZ,25-49yr,2767373
2021-09,DK,25-49yr,1757668
2021-09,EE,25-49yr,275575
2021-09,EL,25-49yr,3297420
2021-09,FI,25-49yr,1050548
2021-09,FR,25-49yr,12968422
2021-09,HR,25-49yr,581259
2021-09,HU,25-49yr,2741317
2021-09,IE,25-49yr,1453937
2021-09,IS,25-49yr,94302
2021-09,IT,25-49yr,12627189
2021-09,LT,25-49yr,531636
2021-09,LU,25-49yr,97775
2021-09,LV,25-49yr,145745
2021-09,MT,25-49yr,206450
2021-09,NO,25-49yr,1045686
2021-09,PL,25-49yr,8153275
2021-09,PT,25-49yr,1991935
2021-09,SE,25-49yr,2047862
2021-09,SI,25-49yr,433860
2021-10,AT,25-49yr,3126679
2021-10,BE,25-49yr,4538822
2021-10,BG,25-49yr,712967
2021-10,CZ,25-49yr,3500345
2021-10,DK,25-49yr,2024323
2021-10,EE,25-49yr,361270
2021-10,EL,25-49yr,3897847
2021-10,FI,25-49yr,1288584
2021-10,FR,25-49yr,16000767
2021-10,HR,25-49yr,701528
2021-10,HU,25-49yr,3596468
2021-10,IE,25-49yr,1664012
2021-10,IS,25-49yr,106158
2021-10,IT,25-49yr,15316994
2021-10,LT,25-49yr,643552
2021-10,LU,25-49yr,119562
2021-10,LV,25-49yr,179850
2021-10,MT,25-49yr,233697
2021-10,NO,25-49yr,1235750
2021-10,PL,25-49yr,9285168
2021-10,PT,25-49yr,2304296
2021-10,SE,25-49yr,2440549
2021-10,SI,25-49yr,526480
2021-11,AT,25-49yr,3809267
2021-11,BE,25-49yr,5316282
2021-11,BG,25-49yr,794192
2021-11,CZ,25-49yr,4300164
2021-11,DK,25-49yr,2255469
2021-11,EE,25-49yr,445631
2021-11,EL,25-49yr,4396986
2021-11,FI,25-49yr,1536507
2021-11,FR,25-49yr,18889107
2021-11,HR,25-49yr,830331
2021-11,HU,25-49yr,4341004
2021-11,IE,25-49yr,1834985
2021-11,IS,25-49yr,116784
2021-11,IT,25-49yr,17774934
2021-11,LT,25-49yr,725316
2021-11,LU,25-49yr,147438
2021-11,LV,25-49yr,199970
2021-11,MT,25-49yr,268655
2021-11,NO,25-49yr,1376189
2021-11,PL,25-49yr,10285560
2021-11,PT,25-49yr,2615743
2021-11,SE,25-49yr,2801243
2021-11,SI,25-49yr,601383
2021-12,AT,25-49yr,4506893
2021-12,BE,25-49yr,6237512
2021-12,BG,25-49yr,907978
2021-12,CZ,25-49yr,5041457
2021-12,DK,25-49yr,2479774
2021-12,EE,25-49yr,516037
2021-12,EL,25-49yr,4891453
2021-12,FI,25-49yr,1763725
2021-12,FR,25-49yr,22062954
2021-12,HR,25-49yr,955981
2021-12,HU,25-49yr,5229795
2021-12,IE,25-49yr,2050109
2021-12,IS,25-49yr,136458
2021-12,IT,25-49yr,20652421
2021-12,LT,25-49yr,833302
2021-12,LU,25-49yr,177113
2021-12,LV,25-49yr,230489
2021-12,MT,25-49yr,310403
2021-12,NO,25-49yr,1566663
2021-12,PL,25-49yr,11637925
2021-12,PT,25-49yr,3145635
2021-12,SE,25-49yr,3161998
2021-12,SI,25-49yr,693321
2021-13,AT,25-49yr,5150849
2021-13,BE,25-49yr,7243043
2021-13,BG,25-49yr,1046529
2021-13,CZ,25-49yr,5771797
2021-13,DK,25-49yr,2717768
2021-13,EE,25-49yr,600194
2021-13,EL,25-49yr,5522500
2021-13,FI,25-49yr,2005594
2021-13,FR,25-49yr,25975635
2021-13,HR,25-49yr,1078807
2021-13,HU,25-49yr,6533407
2021-13,IE,25-49yr,2326258
2021-13,IS,25-49yr,158004
2021-13,IT,25-49yr,23868610
2021-13,LT,25-49yr,1007312
2021-13,LU,25-49yr,208861
2021-13,LV,25-49yr,274956
2021-13,MT,25-49yr,363636
2021-13,NO,25-49yr,1777858
2021-13,PL,25-49yr,13267309
2021-13,PT,25-49yr,3615018
2021-13,SE,25-49yr,3581053
2021-13,SI,25-49yr,802150
2021-14,AT,25-49yr,5689402
2021-14,BE,25-49yr,7695825
2021-14,CZ,25-49yr,6334515
2021-14,DK,25-49yr,2927487
2021-14,EE,25-49yr,661962
2021-14,EL,25-49yr,6095655
2021-14,FI,25-49yr,2188497
2021-14,HR,25-49yr,1172157
2021-14,HU,25-49yr,7578250
2021-14,IE,25-49yr,2484916
2021-14,IT,25-49yr,26198927
